iter	Logloss
0	0.4804478971
1	0.3789916398
2	0.3282172715
3	0.2986630945
4	0.2814548802
5	0.2718210607
6	0.2648756582
7	0.259177983
8	0.2555288906
9	0.2528710614
10	0.2507001597
11	0.2491684453
12	0.2477170672
13	0.2464968018
14	0.2451992095
15	0.2442275813
16	0.2427669911
17	0.2421373529
18	0.2412375775
19	0.240559007
20	0.2400701236
21	0.2394586218
22	0.2388593867
23	0.2381113371
24	0.2377331953
25	0.2372389175
26	0.2369357895
27	0.2364199573
28	0.23605524
29	0.2355833937
30	0.2352291039
31	0.23497237
32	0.2344114478
33	0.2341029228
34	0.2338781478
35	0.2335154741
36	0.2329691186
37	0.2323104679
38	0.2321591107
39	0.2318340603
40	0.2316542526
41	0.2314101498
42	0.231096484
43	0.2308639968
44	0.2306324269
45	0.230383654
46	0.230213282
47	0.2300363504
48	0.2296762505
49	0.2294761356
50	0.229331736
51	0.2291223105
52	0.2289042779
53	0.2287854867
54	0.2284179476
55	0.2282754035
56	0.2281048707
57	0.227596361
58	0.2275022413
59	0.2273994709
60	0.2272644724
61	0.2270108328
62	0.226824876
63	0.2266871823
64	0.2264666556
65	0.2263365439
66	0.2261578588
67	0.2259048037
68	0.2256738855
69	0.2254652332
70	0.2252871785
71	0.2251831306
72	0.2250276929
73	0.2248776597
74	0.2247679074
75	0.2246125591
76	0.2244690923
77	0.2243524137
78	0.2241837182
79	0.2239567467
80	0.2238304088
81	0.2236573715
82	0.2234969951
83	0.2233686725
84	0.2231985499
85	0.222963793
86	0.2227926058
87	0.2226356904
88	0.2223767819
89	0.2222602485
90	0.2221271249
91	0.221990833
92	0.2218973311
93	0.2217867065
94	0.221675253
95	0.2215657741
96	0.2214579169
97	0.2213384215
98	0.2211011197
99	0.2210259059
100	0.2209069163
101	0.2208503755
102	0.2207512925
103	0.2206219849
104	0.2205012589
105	0.2203775458
106	0.2202988505
107	0.2201744454
108	0.2201056677
109	0.2199879234
110	0.2198456787
111	0.2196234218
112	0.2194921643
113	0.2193677226
114	0.2192830674
115	0.2192345346
116	0.2191800052
117	0.2190975392
118	0.2190152129
119	0.2189085594
120	0.2188226185
121	0.2186888152
122	0.2186138094
123	0.2185332546
124	0.2184380348
125	0.218332072
126	0.2182787792
127	0.2182457648
128	0.2181853154
129	0.2180968234
130	0.2180511359
131	0.2179737584
132	0.2179198672
133	0.2178703477
134	0.2177353949
135	0.2177335679
136	0.2176832883
137	0.2176038051
138	0.2175375675
139	0.2174921729
140	0.2174257999
141	0.2173155856
142	0.2172700764
143	0.2171974138
144	0.2171381579
145	0.2169901084
146	0.2169064351
147	0.2168075748
148	0.2167346165
149	0.2166330773
150	0.2165606718
151	0.2164816607
152	0.2164428837
153	0.2163617721
154	0.2163080956
155	0.2162407189
156	0.2161968542
157	0.2161591441
158	0.2161283877
159	0.2160643112
160	0.215978843
161	0.2159066721
162	0.2157842111
163	0.2157529467
164	0.2157306108
165	0.2156535709
166	0.2155762369
167	0.215480869
168	0.2154242436
169	0.2153739515
170	0.2153444905
171	0.2152755258
172	0.2152304177
173	0.2151868006
174	0.2151468855
175	0.2151070153
176	0.2150676247
177	0.2149480204
178	0.2148730514
179	0.2148376119
180	0.2147811812
181	0.214731927
182	0.2146974602
183	0.2146131654
184	0.2145621993
185	0.2145146186
186	0.2144679954
187	0.2144268734
188	0.2144142571
189	0.2143888291
190	0.2143188744
191	0.2142576957
192	0.2141721948
193	0.2141105589
194	0.2140400046
195	0.21397346
196	0.2138886137
197	0.213839165
198	0.2137889961
199	0.2137502176
200	0.2136935685
201	0.2136474428
202	0.2135865157
203	0.2135327947
204	0.2134777866
205	0.2134210906
206	0.2134006495
207	0.2133655063
